Store Name,Product,Date,Sales Quantity,Footfall,Space_Allocated,  Price  ,  Cost  ,  Revenue  ,  Total Cost  ,  Profit  ,Sales per sq meter,Profit per sq meter,Conversion rate,Traffic Density
Store A,Toys,01/01/2023,812,4444,165,12.00,10.00,9744.00,8120.00,1624.00,4.921212121,9.84,18%,26.93
Store A,Toys,01/01/2023,291,4624,165,12.00,10.00,3492.00,2910.00,582.00,1.763636364,3.53,6%,28.02
Store C,Toys,01/01/2023,478,3519,195,12.00,10.00,5736.00,4780.00,956.00,2.451282051,4.90,14%,18.05
Store E,Toys,01/01/2023,1053,4952,38,12.00,10.00,12636.00,10530.00,2106.00,27.71052632,55.42,21%,130.32
Store A,Toys,01/01/2023,407,4279,21,12.00,10.00,4884.00,4070.00,814.00,19.38095238,38.76,10%,203.76
Store A,Toys,01/01/2023,797,2230,49,12.00,10.00,9564.00,7970.00,1594.00,16.26530612,32.53,36%,45.51
Store C,Toys,01/01/2023,794,3465,120,12.00,10.00,9528.00,7940.00,1588.00,6.616666667,13.23,23%,28.88
Store E,Toys,01/01/2023,353,4188,102,12.00,10.00,4236.00,3530.00,706.00,3.460784314,6.92,8%,41.06
Store A,Toys,01/01/2023,1271,1287,112,12.00,10.00,15252.00,12710.00,2542.00,11.34821429,22.70,99%,11.49
Store A,Toys,01/01/2023,1466,4764,145,12.00,10.00,17592.00,14660.00,2932.00,10.11034483,20.22,31%,32.86
Store D,Toys,01/01/2023,1024,3090,152,12.00,10.00,12288.00,10240.00,2048.00,6.736842105,13.47,33%,20.33
Store A,Toys,01/01/2023,1026,1904,90,12.00,10.00,12312.00,10260.00,2052.00,11.4,22.80,54%,21.16
Store C,Toys,01/01/2023,717,3755,161,12.00,10.00,8604.00,7170.00,1434.00,4.453416149,8.91,19%,23.32
Store E,Toys,02/01/2023,911,1554,194,12.00,10.00,10932.00,9110.00,1822.00,4.695876289,9.39,59%,8.01
Store C,Toys,02/01/2023,946,1448,146,12.00,10.00,11352.00,9460.00,1892.00,6.479452055,12.96,65%,9.92
Store C,Toys,02/01/2023,173,2651,96,12.00,10.00,2076.00,1730.00,346.00,1.802083333,3.60,7%,27.61
Store D,Toys,02/01/2023,1566,4054,153,12.00,10.00,18792.00,15660.00,3132.00,10.23529412,20.47,39%,26.50
Store E,Toys,02/01/2023,1136,2865,122,12.00,10.00,13632.00,11360.00,2272.00,9.31147541,18.62,40%,23.48
Store A,Toys,02/01/2023,1990,3029,16,12.00,10.00,23880.00,19900.00,3980.00,124.375,248.75,66%,189.31
Store C,Toys,02/01/2023,325,2134,118,12.00,10.00,3900.00,3250.00,650.00,2.754237288,5.51,15%,18.08
Store A,Toys,02/01/2023,174,2323,106,12.00,10.00,2088.00,1740.00,348.00,1.641509434,3.28,7%,21.92
Store B,Toys,02/01/2023,1874,3812,107,12.00,10.00,22488.00,18740.00,3748.00,17.51401869,35.03,49%,35.63
Store E,Toys,02/01/2023,1228,3528,145,12.00,10.00,14736.00,12280.00,2456.00,8.468965517,16.94,35%,24.33
Store B,Toys,02/01/2023,1873,2994,91,12.00,10.00,22476.00,18730.00,3746.00,20.58241758,41.16,63%,32.90
Store B,Toys,03/01/2023,1979,2342,193,12.00,10.00,23748.00,19790.00,3958.00,10.25388601,20.51,85%,12.13
Store C,Toys,03/01/2023,1085,2540,94,12.00,10.00,13020.00,10850.00,2170.00,11.54255319,23.09,43%,27.02
Store A,Toys,03/01/2023,196,2849,186,12.00,10.00,2352.00,1960.00,392.00,1.053763441,2.11,7%,15.32
Store B,Toys,03/01/2023,857,1641,90,12.00,10.00,10284.00,8570.00,1714.00,9.522222222,19.04,52%,18.23
Store D,Toys,03/01/2023,581,2433,191,12.00,10.00,6972.00,5810.00,1162.00,3.041884817,6.08,24%,12.74
Store E,Toys,03/01/2023,1122,1449,57,12.00,10.00,13464.00,11220.00,2244.00,19.68421053,39.37,77%,25.42
Store E,Toys,03/01/2023,855,2129,62,12.00,10.00,10260.00,8550.00,1710.00,13.79032258,27.58,40%,34.34
Store D,Toys,03/01/2023,1157,772,148,12.00,10.00,13884.00,11570.00,2314.00,7.817567568,15.64,150%,5.22
Store C,Toys,03/01/2023,1683,3673,146,12.00,10.00,20196.00,16830.00,3366.00,11.52739726,23.05,46%,25.16
Store B,Toys,03/01/2023,456,2037,118,12.00,10.00,5472.00,4560.00,912.00,3.86440678,7.73,22%,17.26
Store C,Toys,03/01/2023,1098,1706,22,12.00,10.00,13176.00,10980.00,2196.00,49.90909091,99.82,64%,77.55
Store A,Toys,03/01/2023,888,2105,132,12.00,10.00,10656.00,8880.00,1776.00,6.727272727,13.45,42%,15.95
Store E,Toys,04/01/2023,1896,2923,101,12.00,10.00,22752.00,18960.00,3792.00,18.77227723,37.54,65%,28.94
